RANK,YEAR,TEAM,INT,STY,SACK,TK,DFR,FF,DTD,PA,PANETA,RUYDA,TYDA,FPTS
32,2015,Tennessee,1.06,0,3.38,42.75,1,1.19,0.38,18.69,218.94,92.81,311.75,13.75
31,2015,Cleveland,0.75,0,3.31,48.62,1.12,1.44,0.25,17.38,236.38,95.56,331.94,12.56
30,2015,Dallas,1.38,0,2.06,46.75,0.62,0.88,0.38,17.19,217,118,335,12.31
29,2015,Indianapolis,1.19,0,2.31,44.88,0.69,0.88,0.25,20.81,231.5,89.88,321.38,11.56
28,2015,San Diego,0.81,0.06,2.5,53.56,0.69,0.88,0.31,20,287,84.81,371.81,11.5
27,2015,Chicago,0.75,0,2.12,50.38,0.56,0.81,0.44,20.94,228.75,115.88,344.62,11.38
26,2015,Jacksonville,1.12,0,3.19,43.75,0.62,0.88,0.44,23.5,256.75,91.25,348,11.31
25,2015,Los Angeles,0.69,0,1.12,42.31,0.62,0.88,0.25,17.5,175.31,122.25,297.56,11.25
24,2015,Baltimore,1.31,0,1.5,45.38,0.44,0.56,0.31,20.5,266.94,92.38,359.31,10.88
23,2015,Houston,0.94,0,2.29,48,0.53,1.24,0.24,19.94,232.06,108.53,340.59,10.65
21,2015,Miami,0.75,0.25,2.81,45.44,0.44,0.88,0.12,19.38,238.31,93.38,331.69,10.44
21,2015,San Francisco,0.75,0.12,3.31,48.44,0.31,0.88,0.12,14.88,207.25,96.5,303.75,10.44
20,2015,Philadelphia,1.12,0,2.31,51,0.81,0.94,0.25,23.56,255.44,108.94,364.38,9.69
19,2015,Denver,1.26,0.05,2.53,48.79,0.53,0.74,0.16,22.21,233.37,106.11,339.47,9.16
18,2015,Seattle,0.61,0.06,2.94,46.06,0.44,0.67,0.28,25.39,235.78,135.72,371.5,8.83
17,2015,Oakland,0.88,0.12,2.06,48.81,0.62,1.19,0.25,22.44,242.44,91.06,333.5,8.81
16,2015,Atlanta,1.06,0,2,50.56,0.81,1.06,0.12,21.19,273.69,100.38,374.06,8.5
15,2015,Tampa Bay,0.94,0,1.69,46.56,0.81,0.81,0.19,21.38,240.75,135.12,375.88,8.31
14,2015,NY Jets,1,0,1.38,47.25,0.5,0.81,0.31,24.19,253.56,116.75,370.31,8.25
13,2015,Green Bay,0.5,0.11,2.72,49.61,0.56,1.17,0.17,23.5,219.94,118.11,338.06,8.06
12,2015,Detroit,0.88,0,2.75,48.31,0.56,0.75,0.06,22.38,263.25,83.44,346.69,8
11,2015,Washington,0.65,0.12,1.94,46.76,0.65,1.18,0.18,23.88,256.76,97.06,353.82,7.82
10,2015,NY Giants,0.88,0,1.69,53.12,0.44,0.69,0.25,26.25,271.69,100.56,372.25,7.81
9,2015,Buffalo,0.56,0,2.62,51.81,0.62,1.31,0.12,23.69,208.94,152,360.94,7.75
8,2015,Pittsburgh,1.22,0,2.22,47.5,0.5,0.78,0,25.39,284.22,109.78,394,7.67
7,2015,Cincinnati,0.59,0,2.06,46.53,0.65,0.65,0.18,25.59,241.82,111.53,353.35,7.59
6,2015,Kansas City,0.44,0,2.78,49.28,0.5,0.61,0.11,25.28,203.94,128.89,332.83,7.33
5,2015,New Orleans,0.75,0,2,48.88,0.5,0.94,0.12,25.5,310.62,93.19,403.81,7.25
4,2015,Minnesota,0.53,0.06,2.82,51.94,0.53,0.94,0,22,179.59,133.47,313.06,7.06
3,2015,Arizona,1.06,0,1.83,48.11,0.78,1.06,0.11,29.44,287.28,112.06,399.33,6.17
2,2015,Carolina,0.63,0.05,2.21,43.42,0.63,0.63,0.21,31.05,224.26,141.89,366.16,6.11
1,2015,New England,0.5,0,2.33,44.39,0.39,0.72,0.22,28.33,287.83,82.56,370.39,5.44
