RANK,YEAR,Team,FG,FGA,FGLG,FGB,XP,XPATT,XPB,FPTS
32,2015,NY Giants,1.94,2.19,0,0.12,2.94,3,0,8.75
31,2015,Oakland,2.25,2.62,0,0.12,1.94,2.19,0.19,8.69
30,2015,Tampa Bay,1.94,2.12,0,0,2.62,2.81,0.06,8.44
29,2015,Los Angeles,2.19,2.31,0,0,1.81,1.81,0,8.38
28,2015,Jacksonville,1.88,2.38,0,0.12,2.75,2.75,0,8.38
27,2015,Cleveland,1.88,2.19,0,0,2.75,2.81,0,8.38
26,2015,Philadelphia,1.69,1.69,0,0,2.94,3.06,0,8
25,2015,Baltimore,1.88,2.25,0,0.06,2.31,2.5,0.12,7.94
23,2015,San Diego,1.81,2.12,0,0,2.44,2.56,0,7.88
23,2015,Dallas,1.88,2.25,0,0.12,2.25,2.38,0,7.88
22,2015,Indianapolis,1.75,2.19,0,0,2.5,2.75,0,7.75
21,2015,San Francisco,1.75,2.31,0,0.19,2.19,2.44,0.06,7.44
20,2015,New Orleans,1.38,1.69,0,0.06,3.25,3.38,0.06,7.38
19,2015,Tennessee,1.44,1.69,0,0.06,3,3.12,0,7.31
18,2015,Detroit,1.56,1.81,0,0,2.56,2.75,0,7.25
17,2015,Chicago,1.5,1.75,0,0.06,2.69,2.88,0.06,7.19
16,2015,Pittsburgh,1.78,2.06,0,0.06,1.67,1.83,0.06,7
15,2015,Washington,1.47,1.76,0,0,2.53,2.59,0,6.94
14,2015,Arizona,1.67,1.72,0,0,1.89,2,0,6.89
13,2015,Cincinnati,1.76,2.06,0,0.12,1.59,1.59,0,6.88
12,2015,Minnesota,1.71,1.88,0,0.06,1.71,1.71,0,6.82
11,2015,NY Jets,1.62,1.81,0,0,1.88,2.06,0,6.75
10,2015,Seattle,1.72,1.83,0,0,1.44,1.61,0,6.61
9,2015,Miami,1.31,1.81,0,0,2.62,2.81,0,6.56
8,2015,Denver,1.63,2.05,0,0.05,1.53,1.63,0.05,6.42
7,2015,Green Bay,1.5,1.72,0,0.06,1.89,2.11,0,6.39
6,2015,New England,1.5,1.83,0,0,1.78,1.94,0.06,6.28
4,2015,Atlanta,1.25,1.62,0,0,2.44,2.44,0,6.19
4,2015,Buffalo,1.38,1.69,0,0,2.06,2.31,0,6.19
3,2015,Houston,1.35,1.71,0,0.06,2,2.24,0,6.06
2,2015,Carolina,1.26,1.63,0,0,1.74,1.84,0,5.53
1,2015,Kansas City,1.11,1.33,0,0.06,1.56,1.72,0,4.89
