RANK,YEAR,TEAM,RATT,RYD,RAVG,RTD,TRGT,RCPT,RECYD,RECAVG,RECTD,FMBL,FPTS
32,2015,Miami,28.19,115.38,4.09,0.81,7.31,5.25,46.06,8.77,0.5,0,22.88
31,2015,San Francisco,26.94,112,4.16,1.12,7.38,6.19,45.94,7.42,0.19,0.12,22.62
30,2015,New Orleans,22.81,114.75,5.03,0.62,7.62,5.88,58.62,9.98,0.44,0.44,21.5
29,2015,San Diego,22.38,111.25,4.97,0.88,5.88,4.81,46.44,9.65,0.19,0.19,21.12
28,2015,Dallas,24.44,105.25,4.31,0.81,7.31,5.75,50.44,8.77,0.19,0.06,20.88
27,2015,Atlanta,22.44,90.06,4.01,1,8.75,7.38,59,8,0.19,0.25,20.62
26,2015,Philadelphia,26.38,120.62,4.57,0.44,8.12,5.56,49.88,8.97,0.38,0.12,20.62
25,2015,NY Giants,24.19,105.06,4.34,0.81,7.88,5.75,48.12,8.37,0.25,0.31,19.75
24,2015,Jacksonville,23.94,87.62,3.66,0.81,8.44,6.56,56.06,8.54,0.31,0.19,19.5
23,2015,Indianapolis,24.44,101.56,4.16,0.75,6.12,4.5,34.94,7.76,0.19,0.25,18.25
22,2015,Chicago,22.88,97.38,4.26,0.38,7.06,5,50,10,0.38,0.25,18
21,2015,Los Angeles,24.44,96.56,3.95,0.38,9,6.5,60.12,9.25,0.19,0.25,18
20,2015,Detroit,23,93.94,4.08,0.88,5.88,4.19,34.44,8.22,0.06,0.12,17.5
19,2015,Washington,22.35,104.29,4.67,0.65,7.18,5.12,37.24,7.28,0.18,0.35,17.24
18,2015,Cleveland,25.12,115.06,4.58,0.44,5.31,3.81,38.19,10.02,0.12,0.19,17.12
17,2015,Buffalo,20.88,94.69,4.54,0.56,4.81,3.62,34.75,9.59,0.25,0.12,16.88
16,2015,Oakland,22.12,87,3.93,0.62,7.88,6.12,46.75,7.63,0.19,0.12,16.75
15,2015,Tampa Bay,25.69,90.5,3.52,0.5,6.19,4.81,33.06,6.87,0.31,0.25,16.38
14,2015,Cincinnati,19,80.24,4.22,0.35,8.06,6.18,49.88,8.08,0.29,0.06,15.76
13,2015,Carolina,19.26,71.95,3.73,0.58,9.21,6.68,48.53,7.26,0.16,0.32,15
12,2015,Green Bay,21.06,86.22,4.09,0.67,6.28,4.44,38.94,8.76,0.06,0.22,14.89
11,2015,Minnesota,22.12,92.53,4.18,0.29,6.24,4.65,42,9.04,0.12,0.29,14.88
10,2015,Tennessee,24.25,94.75,3.91,0.38,5.19,3.5,31.06,8.88,0.12,0.06,14.88
9,2015,Arizona,19.17,73.17,3.82,0.44,6.17,4.94,43.44,8.79,0.22,0.22,14.67
8,2015,Houston,21.06,87.35,4.15,0.47,6,4.41,38.94,8.83,0.18,0.24,14.41
7,2015,Baltimore,22.69,89.94,3.96,0.5,6.06,4.44,35.69,8.04,0.06,0.25,14
6,2015,Denver,21.68,66.16,3.05,0.63,8.32,5.37,39.95,7.44,0.26,0.26,13.84
5,2015,New England,22.39,87,3.89,0.44,7.28,5.61,38.39,6.84,0.06,0.17,13.67
4,2015,Kansas City,19.89,77,3.87,0.39,6.17,4.28,30.11,7.04,0.17,0.11,13.22
3,2015,NY Jets,19.25,64.44,3.35,0.12,6.88,5,40.94,8.19,0.31,0.19,12.75
2,2015,Pittsburgh,20.78,79.11,3.81,0.33,6.5,4.72,38.44,8.14,0.11,0.44,11.78
1,2015,Seattle,19.44,68,3.5,0.39,7.67,5.39,38,7.05,0,0.28,10.78
