RANK,YEAR,TEAM,RATT,RYD,RAVG,RTD,TRGT,RCPT,RECYD,RECAVG,RECTD,FMBL,FPTS
32,2015,New Orleans,0,0,0,0,8.06,6,80.62,13.44,0.69,0.12,12.12
31,2015,NY Giants,0,0,0,0,8.75,6.31,81.44,12.9,0.56,0.06,11.25
30,2015,Oakland,0,0,0,0,8.31,5.06,56.94,11.25,0.75,0.12,9.62
29,2015,Detroit,0.06,0,0,0,6.81,4.88,52.38,10.74,0.75,0,9.5
28,2015,Atlanta,0,0,0,0,9.19,5.94,63.38,10.67,0.56,0.06,9.25
27,2015,Jacksonville,0,0,0,0,7.56,5.06,60.31,11.91,0.56,0.06,9.25
26,2015,Tennessee,0,0,0,0,6.88,4.75,50.44,10.62,0.69,0,9.12
25,2015,Indianapolis,0.06,2.25,36,0,7.81,5.25,61,11.62,0.38,0,8.25
24,2015,Los Angeles,0,0,0,0,7.5,5.44,60.12,11.06,0.38,0,8.25
23,2015,Seattle,0,0,0,0,6.61,4.78,56.56,11.84,0.5,0,8.22
22,2015,San Diego,0,0,0,0,6.62,4.69,53.19,11.35,0.5,0,8
21,2015,Green Bay,0,0,0,0,8.67,4.83,53.33,11.03,0.44,0,7.78
20,2015,Pittsburgh,0,0,0,0,8.83,5.33,55.33,10.38,0.44,0,7.67
19,2015,Denver,0.05,0.11,2,0,8.84,5,59.32,11.86,0.42,0,7.53
18,2015,Chicago,0.06,0.69,11,0,6.5,4.75,52.56,11.07,0.38,0,7.25
17,2015,Arizona,0,0,0,0,8.44,5.44,57.56,10.57,0.33,0,7.11
16,2015,Houston,0.06,0.06,1,0,7.88,4.71,56.29,11.96,0.29,0,6.76
15,2015,Minnesota,0.06,0.12,2,0,7,4.94,53.12,10.75,0.29,0,6.76
14,2015,Buffalo,0,0,0,0,7.12,4.06,44.12,10.86,0.44,0,6.75
13,2015,Cleveland,0,0,0,0,5.5,3.88,37.19,9.6,0.62,0.06,6.62
12,2015,Miami,0,0,0,0,6.94,4.38,51.19,11.7,0.25,0,6.5
11,2015,Tampa Bay,0,0,0,0,8.19,5.69,53.31,9.37,0.25,0,6.5
10,2015,Washington,0,0,0,0,7.76,5.12,57.06,11.15,0.24,0.06,6.29
9,2015,San Francisco,0,0,0,0,6.5,4.75,48.06,10.12,0.31,0,6.12
8,2015,Carolina,0,0,0,0,7.68,4.63,46.79,10.1,0.37,0.11,6
7,2015,New England,0,0,0,0,7,4.06,38.67,9.53,0.5,0.06,5.89
6,2015,Philadelphia,0,0,0,0,6.62,4.56,49.94,10.95,0.38,0.19,5.88
5,2015,Kansas City,0,0,0,0,7.72,4.28,42.5,9.94,0.28,0,5.67
4,2015,Cincinnati,0.06,0.12,2,0,8.88,6.06,59.88,9.88,0.06,0.06,5.24
3,2015,Baltimore,0,0,0,0,6.44,4.25,46.38,10.91,0.19,0,5.12
2,2015,NY Jets,0,0,0,0,6.69,4.31,47.5,11.01,0.12,0,4.75
1,2015,Dallas,0,0,0,0,6,3.81,38.44,10.08,0.25,0,4.62
