Team,Position,Last Name,First Name,Overall
CAR,LWR,BENJAMIN,KELVIN,83
CAR,RWR,GINN,TED,77
CAR,LT,OHER,MICHAEL,78
CAR,LG,NORWELL,ANDREW,83
CAR,C,KALIL,RYAN,89
CAR,RG,TURNER,TRAI,87
CAR,RT,REMMERS,MIKE,76
CAR,TE,OLSEN,GREG,93
CAR,QB,NEWTON,CAM,94
CAR,RB,STEWART,JONATHAN,87
CAR,FB,TOLBERT,MIKE,78
DEN,LDE,WOLFE,DEREK,86
DEN,NT,WILLIAMS,SYLVESTER,74
DEN,RDE,CRICK,JARED,70
DEN,SLB,MILLER,VON,99
DEN,ILB,MARSHALL,BRANDON,90
DEN,ILB,DAVIS,TODD,64
DEN,WLB,WARE,DEMARCUS,86
DEN,LCB,TALIB,AQIB,90
DEN,SS,WARD,TJ,85
DEN,FS,STEWART,DARIAN,86
DEN,LWR,THOMAS,DEMARYIUS,87
DEN,RWR,SANDERS,EMMANUEL,88
DEN,LT,OKUNG,RUSSELL,82
DEN,LG,GARCIA,MAX,70
DEN,C,PARADIS,MATT,71
DEN,RG,SCHOFIELD,MICHAEL,68
DEN,RT,STEPHENSON,DONALD,72
DEN,TE,GREEN,VIRGIL,79
DEN,QB,SIEMIAN,TREVOR,60
DEN,RB,ANDERSON,CJ,84
DEN,FB,JANOVICH,ANDY,67
CAR,LDE,JOHNSON,CHARLES,82
CAR,RDT,SHORT,KAWANN,92
CAR,RDE,EALY,KONY,79
CAR,SLB,THOMPSON,SHAQ,75
CAR,MLB,KUECHLY,LUKE,99
CAR,WLB,DAVIS,THOMAS,88
CAR,LCB,BRADBERRY,JAMES,70
CAR,SS,COLEMAN,KURT,87
CAR,FS,BOSTON,TRE,78
CAR,RCB,WORLEY,DARYL,68
TB,LWR,JACKSON,VINCENT,82
TB,RWR,EVANS,MIKE,86
TB,LT,SMITH,DONOVAN,77
TB,LG,PAMPHILE,KEVIN,71
TB,C,HAWLEY,JOE,67
TB,RG,MARPET,ALI,77
TB,RT,DOTSON,DEMAR,78
TB,TE,BRATE,CAMERON,75
TB,TE,STOCKER,LUKE,73
TB,QB,WINSTON,JAMEIS,82
TB,RB,MARTIN,DOUG,90
ATL,LDE,REED,BROOKS,76
ATL,DT,BABINEAUX,JONATHAN,81
ATL,DT,JARRETT,GRADY,72
ATL,RDE,JACKSON,TYSON,77
ATL,SLB,BEASLEY,VIC,79
ATL,MLB,JONES,DEION,71
ATL,LCB,ALFORD,ROBERT,77
ATL,SS,ALLEN,RICARDO,75
ATL,FS,ISHMAEL,KEMAL,76
ATL,RCB,TRUFANT,DESMOND,90
ATL,LWR,JONES,JULIO,96
ATL,RWR,SANU,MOHAMED,77
ATL,LT,MATTHEWS,JAKE,80
ATL,LG,LEVITRE,ANDY,80
ATL,C,MACK,ALEX,84
ATL,RG,CHESTER,CHRIS,78
ATL,RT,SCHRAEDER,RYAN,85
ATL,TE,TAMME,JACOB,79
ATL,QB,RYAN,MATT,84
ATL,FB,DIMARCO,PATRICK,91
ATL,RB,FREEMAN,DEVONTA,86
TB,LDE,GHOLSTON,WILLIAM,78
TB,RDT,MCDONALD,CLINTON,77
TB,RDE,AYERS,ROBERT,84
TB,SLB,SMITH,DARYL,82
TB,MLB,ALEXANDER,KWON,76
TB,WLB,DAVID,LAVONTE,86
TB,LCB,GRIMES,BRENT,85
TB,SS,CONTE,CHRIS,76
TB,RCB,VERNER,ALTERRAUN,75
BUF,LWR,WATKINS,SAMMY,87
BUF,RWR,WOODS,ROBERT,73
BUF,LT,GLENN,CORDY,89
BUF,LG,INCOGNITO,RICHIE,90
BUF,C,WOOD,ERIC,81
BUF,RG,MILLER,JOHN,69
BUF,RT,MILLS,JORDAN,73
BUF,TE,CLAY,CHARLES,84
BUF,QB,TAYLOR,TYROD,82
BUF,FB,FELTON,JEROME,73
BUF,RB,MCCOY,LESEAN,86
BAL,DT,JERNIGAN,TIMMY,76
BAL,NT,WILLIAMS,BRANDON,84
BAL,DE,GUY,LAWRENCE,71
BAL,OLB,SUGGS,TERRELL,90
BAL,ILB,MOSLEY,CJ,83
BAL,SLB,DUMERVIL,ELVIS,87
BAL,LCB,WRIGHT,SHAREECE,72
BAL,SS,WEDDLE,ERIC,92
BAL,FS,WEBB,LARDARIUS,79
BAL,RCB,SMITH,JIMMY,81
BAL,RWR,WALLACE,MIKE,77
BAL,LT,STANLEY,RONNIE,79
BAL,LG,LEWIS,ALEX,69
BAL,C,ZUTTAH,JEREMY,81
BAL,RG,YANDA,MARSHAL,97
BAL,TE,PITTA,DENNIS,81
BAL,QB,FLACCO,JOE,81
BAL,FB,JUSZCZYK,KYLE,83
BAL,RB,FORSETT,JUSTIN,82
BUF,DT,WILLIAMS,KYLE,82
BUF,NT,BRYANT,CORBIN,71
BUF,DE,WASHINGTON,ADOLPHUS,70
BUF,OLB,HUGHES,JERRY,88
BUF,WLB,BROWN,ZACH,82
BUF,MLB,BROWN,PRESTON,73
BUF,OLB,ALEXANDER,LORENZO,72
BUF,RCB,DARBY,RONALD,83
BUF,SS,WILLIAMS,AARON,77
BUF,FS,GRAHAM,COREY,82
BUF,LCB,GILMORE,STEPHON,85
CHI,LWR,JEFFERY,ALSHON,91
CHI,RWR,WHITE,KEVIN,74
CHI,LT,LENO,CHARLES,68
CHI,LG,SITTON,JOSH,91
CHI,C,LARSEN,TED,67
CHI,RG,LONG,KYLE,79
CHI,RT,MASSIE,BOBBY,75
CHI,TE,MILLER,ZACH,78
CHI,FB,LASIKE,PAUL,66
CHI,QB,CUTLER,JAY,80
CHI,RB,LANGFORD,JEREMY,76
HOU,RDE,WATT,JJ,99
HOU,NT,WILFORK,VINCE,84
HOU,LDE,COVINGTON,CHRISTIAN,66
HOU,SLB,MERCILUS,WHITNEY,88
HOU,RILB,MCKINNEY,BENARDRICK,77
HOU,OLB,CLOWNEY,JADEVEON,83
HOU,LCB,JACKSON,KAREEM,78
HOU,SS,DEMPS,QUINTIN,75
HOU,FS,HAL,ANDRE,77
HOU,RCB,JOSEPH,JOHNATHAN,91
HOU,LWR,HOPKINS,DEANDRE,93
HOU,RWR,FULLER,WILL,74
HOU,LT,BROWN,DUANE,86
HOU,LG,SU'A-FILO,XAVIER,71
HOU,C,MANCZ,GREG,63
HOU,RG,ALLEN,JEFF,78
HOU,RT,NEWTON,DEREK,82
HOU,TE,FIEDOROWICZ,CJ,77
HOU,QB,OSWEILER,BROCK,77
HOU,FB,PROSCH,JAY,81
HOU,RB,MILLER,LAMAR,88
CHI,DE,HICKS,AKIEM,78
CHI,NT,GOLDMAN,EDDIE,76
CHI,DE,UNREIN,MITCH,68
CHI,RILB,TREVATHAN,DANNY,85
CHI,LCB,PORTER,TRACY,72
CHI,SS,JONES-QUARTEY,HAROLD,71
CHI,FS,AMOS,ADRIAN,77
CHI,RCB,FULLER,KYLE,80
GB,LWR,NELSON,JORDY,89
GB,RWR,COBB,RANDALL,86
GB,LT,BAKHTIARI,DAVID,79
GB,LG,TAYLOR,LANE,67
GB,C,TRETTER,JC,76
GB,RG,LANG,TJ,91
GB,RT,BULAGA,BRYAN,79
GB,TE,RODGERS,RICHARD,79
GB,QB,RODGERS,AARON,96
GB,FB,RIPKOWSKI,AARON,71
GB,RB,LACY,EDDIE,83
JAX,DT,JACKSON,MALIK,86
JAX,DT,MILLER,ROY,78
JAX,RDE,ODRICK,JARED,78
JAX,OLB,SMITH,TELVIN,80
JAX,MLB,POSLUSZNY,PAUL,78
JAX,OLB,SKUTA,DAN,79
JAX,LCB,HOUSE,DAVON,76
JAX,FS,GIPSON,TASHAUN,77
JAX,LWR,ROBINSON,ALLEN,88
JAX,RWR,HURNS,ALLEN,85
JAX,LT,BEACHUM,KELVIN,82
JAX,LG,JOECKEL,LUKE,79
JAX,C,LINDER,BRANDON,77
JAX,RG,CANN,AJ,69
JAX,RT,PARNELL,JERMEY,77
JAX,TE,LEWIS,MARCEDES,76
JAX,TE,THOMAS,JULIUS,83
JAX,QB,BORTLES,BLAKE,82
JAX,RB,YELDON,TJ,80
GB,LDE,LOWRY,DEAN,65
GB,NT,GUION,LETROY,73
GB,DT,DANIELS,MIKE,92
GB,MLB,MARTINEZ,BLAKE,67
GB,LCB,RANDALL,DAMARIOUS,76
GB,SS,BURNETT,MORGAN,85
GB,RCB,SHIELDS,SAM,86
SD,LWR,BENJAMIN,TRAVIS,78
SD,RWR,INMAN,DONTRELLE,72
SD,LT,DUNLAP,KING,82
SD,LG,FRANKLIN,ORLANDO,72
SD,C,SLAUSON,MATT,84
SD,RG,FLUKER,DJ,74
SD,RT,BARKSDALE,JOE,80
SD,TE,GATES,ANTONIO,85
SD,QB,RIVERS,PHILIP,84
SD,RB,GORDON,MELVIN,76
SD,FB,WATT,DEREK,71
KC,LDE,HOWARD,JAYE,83
KC,NT,POE,DONTARI,85
KC,RDE,BAILEY,ALLEN,79
KC,LCB,PETERS,MARCUS,82
KC,SS,BERRY,ERIC,93
KC,FS,PARKER,RON,81
KC,RCB,GAINES,PHILLIP,75
KC,LWR,MACLIN,JEREMY,86
KC,RWR,CONLEY,CHRIS,70
KC,LT,FISHER,ERIC,78
KC,LG,EHINGER,PARKER,66
KC,C,MORSE,MITCH,73
KC,RG,DUVERNAY-TARDIF,LAURENT,73
KC,RT,SCHWARTZ,MITCHELL,86
KC,TE,KELCE,TRAVIS,88
KC,QB,SMITH,ALEX,82
KC,FB,SHERMAN,ANTHONY,81
KC,RB,CHARLES,JAMAAL,89
